MegaWin ASCII file

[DEFINITIONS]
Version=1
ChannelCount=16
DataType=1
SamplingFreq=1000.000000
FirstSampleTime=0.000000
PhaseName=Raw Free 01/07/2013 17:53:07


[COMMENT]
10L(alternativas_i_d)


[SOURCE NAMES]
RA
OE
OI
ES
RF
BF
TA
GL
RA
OE
OI
ES
RF
BF
TA
GL


[SIDE INFO]
R
R
R
R
R
R
R
R
L
L
L
L
L
L
L
L


[UNITS]
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV




[DATA]
-10,00	-9,00	22,00	4,00	2,00	-1,00	-3,00	6,00	1,00	-4,00	-14,00	17,00	2,00	-5588,00	-6,00	4,00
-8,00	-9,00	21,00	13,00	-2,00	-2,00	0,00	-2,00	4,00	-2,00	-23,00	6,00	3,00	-5576,00	-7,00	2,00
-2,00	-7,00	19,00	18,00	-2,00	-3,00	2,00	-6,00	1,00	-1,00	-22,00	-7,00	2,00	-5564,00	-3,00	0,00
-6,00	0,00	10,00	18,00	0,00	-6,00	0,00	0,00	-3,00	5,00	-13,00	-12,00	4,00	-5553,00	-6,00	6,00
2,00	0,00	6,00	7,00	1,00	-3,00	-3,00	-1,00	-2,00	0,00	-12,00	-15,00	6,00	-5540,00	-10,00	6,00
0,00	0,00	-3,00	3,00	1,00	-3,00	-6,00	-2,00	0,00	10,00	-8,00	-14,00	6,00	-5528,00	-6,00	2,00
7,00	-5,00	4,00	5,00	-2,00	-1,00	-6,00	2,00	-6,00	0,00	-8,00	2,00	1,00	-5513,00	-4,00	3,00
-4,00	-3,00	6,00	7,00	2,00	-2,00	-4,00	-4,00	-2,00	-13,00	-10,00	5,00	-2,00	-5500,00	-6,00	9,00
-4,00	-7,00	-1,00	6,00	-2,00	-3,00	-1,00	-19,00	2,00	9,00	-3,00	9,00	0,00	-5487,00	0,00	4,00
-6,00	-3,00	6,00	-2,00	0,00	-3,00	-1,00	-19,00	0,00	19,00	-10,00	37,00	1,00	-5476,00	-1,00	4,00
-5,00	2,00	9,00	4,00	2,00	-7,00	3,00	-15,00	-2,00	0,00	-12,00	58,00	2,00	-5465,00	-3,00	7,00
-1,00	-1,00	0,00	16,00	3,00	-4,00	0,00	-8,00	4,00	5,00	-1,00	28,00	0,00	-5452,00	-3,00	7,00
-4,00	-2,00	5,00	15,00	-2,00	-3,00	3,00	-17,00	-2,00	-9,00	-1,00	-13,00	0,00	-5440,00	-3,00	1,00
-10,00	0,00	12,00	8,00	2,00	0,00	0,00	-17,00	-2,00	-7,00	12,00	-17,00	6,00	-5429,00	-4,00	0,00
-6,00	-6,00	0,00	8,00	-2,00	0,00	-2,00	-13,00	4,00	0,00	26,00	-14,00	6,00	-5415,00	-9,00	3,00
-1,00	-4,00	-9,00	16,00	5,00	-2,00	-2,00	-11,00	-2,00	-20,00	28,00	-29,00	1,00	-5404,00	-7,00	7,00
-5,00	-2,00	-8,00	16,00	3,00	-2,00	-1,00	8,00	-3,00	-19,00	38,00	-20,00	3,00	-5392,00	-12,00	5,00
-1,00	-1,00	-6,00	9,00	-2,00	0,00	-1,00	6,00	-2,00	-3,00	2,00	6,00	4,00	-5379,00	-10,00	2,00
-4,00	-4,00	-5,00	4,00	4,00	0,00	-2,00	4,00	-1,00	-4,00	-39,00	6,00	4,00	-5369,00	-3,00	1,00
-4,00	-1,00	-8,00	0,00	-3,00	0,00	-1,00	-10,00	2,00	0,00	-15,00	11,00	2,00	-5356,00	-5,00	9,00
-10,00	-1,00	-9,00	-1,00	2,00	-4,00	-3,00	-15,00	3,00	3,00	25,00	6,00	1,00	-5344,00	-8,00	14,00
-5,00	-1,00	-9,00	-1,00	0,00	-8,00	-1,00	4,00	5,00	-2,00	17,00	-31,00	6,00	-5332,00	-7,00	3,00
-6,00	-10,00	-12,00	9,00	-1,00	-6,00	-4,00	12,00	3,00	10,00	-22,00	-52,00	3,00	-5322,00	-4,00	-1,00
-1,00	-12,00	-17,00	25,00	0,00	-3,00	0,00	0,00	-2,00	4,00	-29,00	-36,00	0,00	-5309,00	-3,00	4,00
-1,00	-10,00	-2,00	19,00	5,00	-2,00	-3,00	-16,00	2,00	-1,00	-2,00	-13,00	0,00	-5296,00	-3,00	5,00
-3,00	-14,00	24,00	9,00	2,00	-2,00	-3,00	-18,00	2,00	-2,00	3,00	-6,00	3,00	-5284,00	-6,00	5,00
-6,00	-7,00	18,00	-6,00	6,00	-7,00	-3,00	-18,00	-2,00	0,00	-10,00	6,00	4,00	-5274,00	-4,00	3,00
-2,00	-4,00	6,00	-2,00	0,00	-5,00	-7,00	-8,00	0,00	-6,00	-21,00	53,00	0,00	-5261,00	-5,00	4,00
-3,00	-1,00	5,00	23,00	-2,00	-1,00	-6,00	14,00	-1,00	-11,00	-7,00	81,00	2,00	-5249,00	-9,00	5,00
-2,00	-1,00	-1,00	20,00	-1,00	2,00	-7,00	14,00	-2,00	-7,00	-2,00	52,00	4,00	-5236,00	-8,00	3,00
0,00	-1,00	-4,00	7,00	-1,00	5,00	-2,00	11,00	1,00	0,00	-18,00	17,00	0,00	-5225,00	-7,00	5,00
-4,00	-1,00	-7,00	-1,00	5,00	-2,00	0,00	13,00	-2,00	-6,00	-7,00	1,00	1,00	-5214,00	-3,00	7,00
-2,00	4,00	-10,00	2,00	-1,00	-3,00	11,00	6,00	-1,00	-2,00	29,00	-13,00	3,00	-5204,00	0,00	1,00
-8,00	3,00	0,00	12,00	9,00	0,00	3,00	-9,00	1,00	-4,00	48,00	-15,00	2,00	-5192,00	-1,00	0,00
-2,00	4,00	-10,00	14,00	6,00	-2,00	-3,00	-13,00	0,00	-3,00	31,00	-8,00	3,00	-5181,00	-6,00	2,00
1,00	-2,00	-13,00	17,00	-7,00	2,00	-7,00	-17,00	-1,00	4,00	-3,00	-9,00	3,00	-5170,00	-9,00	8,00
-3,00	-5,00	-13,00	10,00	19,00	0,00	-2,00	-13,00	0,00	-1,00	12,00	-18,00	0,00	-5156,00	-12,00	9,00
-1,00	-5,00	-30,00	12,00	-3,00	-4,00	2,00	2,00	-2,00	-5,00	55,00	-10,00	3,00	-5144,00	-13,00	7,00
-2,00	3,00	-4,00	3,00	-6,00	-4,00	-5,00	-10,00	-3,00	-2,00	29,00	3,00	5,00	-5133,00	-8,00	7,00
-5,00	-4,00	24,00	0,00	-2,00	-6,00	-5,00	-5,00	2,00	3,00	-27,00	-5,00	5,00	-5125,00	-2,00	5,00
-4,00	-5,00	22,00	8,00	4,00	0,00	-7,00	5,00	2,00	-6,00	-59,00	-14,00	4,00	-5114,00	-7,00	3,00
-1,00	-3,00	-2,00	34,00	27,00	-3,00	-3,00	6,00	-1,00	-9,00	-43,00	-15,00	2,00	-5101,00	-8,00	5,00
6,00	-7,00	16,00	60,00	0,00	-6,00	10,00	-14,00	0,00	-6,00	-19,00	-7,00	4,00	-5091,00	-3,00	2,00
-4,00	-3,00	16,00	15,00	-6,00	-9,00	0,00	-19,00	3,00	-2,00	-14,00	6,00	3,00	-5082,00	0,00	2,00
-5,00	-11,00	0,00	-23,00	-7,00	5,00	-6,00	-12,00	2,00	-2,00	-6,00	9,00	2,00	-5070,00	-3,00	10,00
11,00	-10,00	11,00	-20,00	-6,00	2,00	-12,00	-4,00	3,00	-5,00	-1,00	0,00	0,00	-5057,00	-3,00	7,00
